id,dateCreated,dateUpdated,slug,uri,postDate,contentId,title,field_bookReviewAuthor,field_bookReviewBookSubtitle,field_bookReview
17514,12/11/21 20:49,12/11/21 20:49,dune-messiah,blog/2021/12/11/dune-messiah,12/11/21 20:49,19765,Dune Messiah,Frank Herbert,null,"<p>I said in my review of the first book in this series that I would not read any farther in the series; yet, I ended up reading this book because I found that some of my family members had read the series. However, I am truly going to stop with this second book. The way Herbert weaves together spiritual mysticism, concepts of leadership, and the sci-fi genre isn't my preference. I can see why there are enthusiasts with this series, but it ultimately doesn't strike a chord with me. I do value the complexity of his plot and how he weaves it together. There are a few areas in his plot resolution in this book that Herbert seems to be a little shallow.</p>"
17511,12/10/21 1:24,12/10/21 1:25,old-testament-textual-criticism,blog/2021/12/09/old-testament-textual-criticism,12/10/21 1:24,19760,Old Testament Textual Criticism,"Ellis R. Brotzman (Preface),  Eric J. Tully",A Practical Introduction,"<p>This book gives a detailed overview of the Old Testament biblical texts that I have wanted for a long time. I have been given elements of it over the years, but nothing like what this book offers.</p>"
17505,12/3/21 1:53,12/3/21 1:56,the-warden-and-the-wolf-king,blog/2021/12/02/the-warden-and-the-wolf-king,12/3/21 1:53,19753,The Warden and the Wolf King,The Wingfeather Saga #4,null,"<p>Another children's series in the bag. Over the last few years I have read multiple series to my kids, and therefore, this series is automatically compared to the previous ones. I would recommend it to anyone, and it was a joy to read. If I were to compare it to the Green Ember series, I think in a few ways this series is better than the Green Ember, and, in many ways, it is not quite as good. The Green Ember series performed steadier than this series. That said, one of my kids thought the Green Ember series was boring and loves this series. </p>
<p>The ending of this book surprised me, and I'm not sure I like it. It is a bitter-sweet ending, and I think those are necessary. Yet, I feel like it could have resolved in a deeper way than it did. I won't say too much more so I don't spoil anything. I will say that the Green Ember ending and the Chronicles of Narnia ending were much better in my opinion.</p>"
17497,11/30/21 0:34,11/30/21 0:35,encouragement-for-todays-pastors,blog/2021/11/29/encouragement-for-todays-pastors,11/30/21 0:34,19743,Encouragement for Today’s Pastors,"Joel R. Beeke, Terry D. Slachter",Help from the Puritans,"<p>There are a lot of long quotes from he puritans in this book. It does have some helpful guidance for today's pastors; however, it feels like the modern gets dwarfed by quotes from long ago. With the main title advertising help for ""today's"" pastors, I would have liked much more emphasis on pastoring today. This doesn't mean there are not a lot of gems in this book.</p>"
17494,11/30/21 0:26,11/30/21 0:26,white-too-long,blog/2021/11/29/white-too-long,11/30/21 0:26,19738,White Too Long,Robert P. Jones,The Legacy of White Supremacy in American Christianity,"<p>This was a difficult book to read; however, it is a necessary book. Jones draws strong conclusions, but they do seem necessary. I feel like I cannot properly asses this history because it feels mostly removed from my experience. Yet, Jones extensively lays out how he considers racism to be embedded into white evangelicalism, and this means he would consider me to be affected by white supremacist views. This is a little hard to swallow; however, if it is true, I want to fairly consider how this is so and seek to correct it.</p>
"
17491,11/11/21 15:26,11/11/21 15:26,reading-while-black,blog/2021/11/11/reading-while-black,11/11/21 15:26,19733,Reading While Black,Esau McCaulley,African American Biblical Interpretation as an Exercise in Hope,<p>Loved this book. Esau McCaulley is articulate and theologically rich while at the same time vividly sharing the raw pain and emotion that surely surrounds this topic. This book is thought-provoking &amp; healing-promoting through the gateway of honest historical story telling. I look forward to seeing how God continues to use McCaulley.</p>
17488,11/10/21 23:20,11/10/21 23:20,the-minister-as-shepherd,blog/2021/11/10/the-minister-as-shepherd,11/10/21 23:20,19728,The Minister as Shepherd,Charles Jefferson,The Privileges and Responsibilities of Pastoral Leadership,"<p>I read this book years ago, and I decided it was time I revisited it. Jefferson makes the biblical case for what a Pastor/Shepherd is and how he should be properly oriented and motivated through positive and negative examples. This is an older book, and in some ways feels out of touch with what my generation of pastors face. However, there are plenty of timeless truths on the book that are sure to cause a healthy reflection. Occasionally I felt like Jefferson was a little too negative. </p>"
17485,11/8/21 22:17,11/8/21 22:17,the-story-of-christianity,blog/2021/11/08/the-story-of-christianity,11/8/21 22:17,19723,The Story of Christianity,Justo L. González,Vol. 2: The Reformation to the Present Day,"<p>All that I <a href=""{entry:17408@1:url||https://nathanbate.com/blog/2021/10/19/the-story-of-christianity-volume-1}"" target=""_blank"" rel=""noreferrer noopener"">said about volume 1</a> also applies to volume 2. In addition, in volume 2 I felt like there was a little too much broad brushing in regards to Protestantism and Catholicism. It seemed like it should have been a little longer and with more nuance. That said, I did mostly appreciate the attempt at a honed generalist approach (if you can ever succeed at that!). Like I said for volume one, I wish Gonzalez would have given us a much more extensive sources list. He does give some suggested readings and some notes, but they are brief. </p>"
17481,11/3/21 1:17,11/3/21 1:18,deeper,blog/2021/11/02/deeper,11/3/21 1:17,19715,Deeper,Dane Ortlund,Real Change for Real Sinners (Union),"<p>I greatly appreciated most of Dane Ortlund's book. He uses contemporary wording and analogies along with some key words from psychology. This will be a help to many a modern reader. I expect there will be several parts of the book that I will appreciate for years to come. Hopefully I'll read it again in a year or two.</p>
<p>My one main concern with the book is that there wasn't enough nuance at the end of the book as Ortlund exhorts the reader to be a part of the body of Christ. I agree with this application, but people who are dealing with big T or little t trauma in their lives will find the lack of nuance confusing as they try to process their trauma. It is this lack of nuance that can re-traumatize as well as damage a person's relationship with God's church.</p>"
17412,10/19/21 17:20,10/19/21 17:25,dune,blog/2021/10/19/dune,10/19/21 17:20,19665,Dune,Frank Herbert,Book 1,"<p>If you can make it past the very slow start, the book does bring you through an interesting journey and resolve well in the end. I can see how enthusiasts would love this book, and I can see how the rest would be disappointed by it. I don't read a lot of sci-fi, and so I was struck by the strangeness of several of the elements in this book. Although I did make it to the end of the book and I generally liked it, I don't plan to read the rest of the series.</p>"
17408,10/19/21 17:09,10/19/21 17:09,the-story-of-christianity-volume-1,blog/2021/10/19/the-story-of-christianity-volume-1,10/19/21 17:09,19657,"The Story of Christianity, Volume 1",Justo L. González,The Early Church to the Reformation,"<p>Gonzalez strikes a nice balance between detail and ease of reading. Thus, this book accessible to a wider audience. That said, this is still quite a commitment to read at over 500 pages. And, this is just volume one. The way I look at church history, is that I need to make several passes the the various church history books to get it engrained in me. I look forward to reading this one again in a few years.</p>
<p>My one complaint with Gonzalez is that he hardly gives any sources. It is hard to use this book to dig deeper.</p>"
17394,10/6/21 21:58,10/6/21 22:00,dangerous-calling,blog/2021/10/06/dangerous-calling,10/6/21 21:58,19633,Dangerous Calling,Paul David Tripp,Confronting the Unique Challenges of Pastoral Ministry,"<p>I read this years ago shortly after it came out, and I read it this time as a part of a coaching program I am participating in. My feelings on the book are mixed. It does feel like a hyper critical book, but it points to common realities. It it is probably the most thorough diagnostic book I have read for the pastor to evaluate his heart. However, I can't shake the feeling that it is too heavy, too critical. That said, I suspect if I had visited all the churches that Tripp has visited and seen all that he has seen, I would want to communicate them as he has in this book.</p>
<p>So, I would call this book helpful, best in class, but not for everybody in all seasons of ministry.<br /></p>"
17390,10/1/21 22:14,10/1/21 22:15,a-big-gospel-in-small-places,blog/2021/10/01/a-big-gospel-in-small-places,10/1/21 22:14,19627,A Big Gospel in Small Places,Stephen Witmer,Why Ministry in Forgotten Communities Matters,"<p>I read this book last year, and this year I decided to read it again. I tried to read it slower this time. I wanted to absorb its contents even more.<br /></p>
<p>The prevailing mindset of our culture of big and impressive has so affected my thinking. Stephen Witmer lays out a gospel-centered and thorough approach to how to re-think ministry in small places. It is like loosening a knot or slowly removing a tangle of thorns. Witmer, iteration by iteration, helps us dislodge our wrong thinking in light of the Scriptures. He acknowledges and engages those who have made a strong case for ministering in the city, but he doesn’t give up. He offers some respectful counter arguments. And, he references an impressive array of references which help deepen our considerations. I would be curious to read some other treatments of this topic. I wonder if Stephen Witmer has pretty much covered it.</p>
<p>I might read this again next year, and I am considering buying several copies and passing it out to people. I purposefully did not read my last review of this book before writing this review of it. I wanted my thoughts from this read through to be independent of what I wrote previously.</p>"
17377,9/28/21 14:10,9/28/21 14:10,america-and-iran,blog/2021/09/28/america-and-iran,9/28/21 14:10,19608,America and Iran,John Ghazvinian,A History 1720 to the Present,"<p>This is an important book in my opinion. American's memory is short and their perspective is one of self-interest. I don't blame America for this. It is normal. </p>
<p>But normal isn't always good or best. Sometimes it is tragic. </p>
<p>John Ghazvinian takes us back to the colonial days of the U.S. and begins to trace our history with Iran from that point forward. He writes as a historian who is both an Iranian and an American which makes him uniquely situated to outline the tragic but normal behavior of the United States toward Iran. Those who are old enough to have watched the media coverage of Iran over the last 40 years will likely take great exception to the charge that the U.S. has not treated Iran properly, and likely many will say that Iran has deserved what it has gotten. And, I understand this perspective. But it is still tragic. There is a lot more to the story. I think many would have a more moderate stance if they knew more.</p>
<p>Ghazvinian's hope (and I share this hope) is that if more people would engage the facts of history, this tragedy could be averted. He doesn't just charge America with guilt. He is not an America basher. He writes as an historian who helps his readers examine the fabric of the situation which occasional editorial phrases/descriptors. He not only reveals the regrettable actions of the U.S. but also those of Iran. He does not give Iran a free pass. And, he does a great job exposing the pressure points of both nations. </p>
<p>Ghazvinian does lead the reader to the conclusion without expressly stating it (If I'm remembering correctly) that America perhaps has the greater blame and greater responsibility. Perhaps that is not his intention, but that is how I take it. And, I don't resent it. I agree with him. I'm curious to hear from other truly informed people who disagree with him.<br /><br /></p>"
17374,9/28/21 12:37,9/28/21 12:37,the-monster-in-the-hollows,blog/2021/09/28/the-monster-in-the-hollows,9/28/21 12:37,19603,The Monster in the Hollows,Andrew Peterson,The Wingfeather Saga #3,"<p>The Wingfeather series has a lot of slow-moving periods in the book, but when the times for action come, they are intense and thrilling! Some parts were too slow for me. The plot definitely gets more complex in book three with some significant surprises. I continue to enjoy the themes of right/wrong, light/darkness, good/evil in Peterson's writing.</p>
<p>I have been reading this to my children, and I like to watch their responses to the book. They seem to be pretty into it for the most part. 4 out of my 5 children are engaged. My youngest who is in kindergarten is still too young to appreciate it.<br /></p>"
17336,9/16/21 0:54,9/16/21 0:55,the-wounded-healer,blog/2021/09/15/the-wounded-healer,9/16/21 0:54,19561,The Wounded Healer,Henri J.M. Nouwen,Ministry in Contemporary Society,"<p>I had never heard of Henri Nouwen, but a classmate recommended this book. At first I didn't like it. Nouwen's introduction felt weird and a little off to me. I understood what he was trying to get at, but how he got there just wasn't that great in my opinion. And, as the book progressed he uses next to no Scripture quotations and only a few allusions.</p>
<p>However, as I got into the middle of the book my respect for it started to build, and as the book ended, I do have an appreciation of it. Nouwen approaches things just different enough, that once I got past the things that I felt were weird (mostly), then the rest I found helpful and though provoking. I especially appreciated his description and applications surrounding leadership.</p>"
17333,9/15/21 18:44,9/15/21 18:51,rediscover-church,blog/2021/09/15/rediscover-church,9/15/21 18:44,19558,Rediscover Church,"Collin Hansen, Jonathan Leeman",Why the Body of Christ Is Essential,"<p>Overall a very helpful book. It attempts to give a fresh view of what composes a healthy church, especially in light of the recent years of COVID and such. What I have heard is that many people have drifted and left the church during these times. (I have not seen that much in my personal experience.) Many pastor-scholar-authors will often write to help God's church process the current times in light of the timeless truths of the Bible, and that is what Jonathan Leeman and Collin Hansen are seeking to do here.</p>
<p>I view this book as a great tool to have conversations about church in today's context. These conversations should be with those are are still in church as well as those who have left in recent years. Whenever we can talk through the big doctrines of Scripture in light of current context, it will strengthen God's church. Books like this provide an official storehouse that we can draw off of while we seek to have these conversations.</p>
<p>There were a couple things that bothered me about the book. I consider the case for church membership to be overdone and the case for believers baptism to be underdone. But, I'm not a pastor-scholar-author. These guys have done something I cannot do myself, and I am grateful for their work.</p>"
17274,8/24/21 23:55,8/24/21 23:57,the-rise-and-fall-of-the-third-reich,blog/2021/08/24/the-rise-and-fall-of-the-third-reich,8/24/21 23:55,19510,The Rise and Fall of the Third Reich,William L. Shirer,A History of Nazi Germany,"<p>This is an exhaustive book. William Shirer has my respect as a historian but also for the amount of material he lays out. One of the characteristics I appreciate about a historian which Shirer possesses is the ability to bring dimension to situations in an interesting way. The unavoidable byproduct of covering Nazi Germany is that the book is rather dark and discouraging. Shirer does help some with how he organizes the material. If you as a reader are remotely willing to engage history for the sake of perceiving the present, this is a must read.</p>"
17271,8/24/21 23:45,8/24/21 23:46,unfolding-grace,blog/2021/08/24/unfolding-grace,8/24/21 23:45,19505,Unfolding Grace,Crossway Books,40 Guided Readings through the Bible,<p>This book was given to me by a friend. It is a selection of 40 different readings from the Bible. The emphasis is on helping the reader understand the unfolding theme of God's grace throughout the Scriptures. I found this to be an excellent way to strengthen my overview understanding of the Bible. This a great book to buy for your personal devotions.</p>
16522,7/15/21 0:28,7/15/21 0:30,influence-new-and-expanded,blog/2021/07/14/influence-new-and-expanded,7/15/21 0:28,19220,"Influence, New and Expanded",Robert B. Cialdini,The Psychology of Persuasion,"<p>Good, easy to read overview book of a sociological approach to influence. Although, it had way too many stories for my liking. I think the book could have been half as long and just as effective. I usually read the first several pages of each chapter and skimmed the rest. I now have a new set of criterion to add to my meditations on how to best lead people. Not that anything was new or that profound. It is more that reading an official presentation of these things will cause them to stand out bigger in my thinking and thereby help me give better attention to their value. </p>
<p>That said, I have personally had a strong aversion to these things for many years that has only grown stronger with time. These types of approaches seem cheap to me, and Robert Cialdini tries to address this in his book. What causes me to pay closer attention to these things now is that my aversion to these things has actually hurt my leadership. It is time at level up here and carefully use these tools. </p>"
16519,7/13/21 5:12,7/13/21 5:12,the-mysterious-benedict-society-and-the-riddle-of-ages,blog/2021/07/13/the-mysterious-benedict-society-and-the-riddle-of-ages,7/13/21 5:12,19215,The Mysterious Benedict Society and the Riddle of Ages,Trenton Lee Steward,Book 4,"<p>It is sad to see this series come to an end. It truly is like saying goodbye to old friends. I took a peak at other reviews of this book on Goodreads, and I was surprised at some of the criticisms. Many folks found the first part of the book boring. This wasn't the case for me at all. The best feature of this book series is what shone the brightest in this final book - the mental processing of gifted children, all in their own way, coalescing around their relationships with one another...which, perhaps for others, was the boring part. Not sure. This for me, however, was enthralling and probably helpful for my own thinking processes. </p>"
16514,7/11/21 23:09,7/11/21 23:09,jeremiah,blog/2021/07/11/jeremiah,7/11/21 23:09,19209,Jeremiah,Matthew S. Harmon,A 12-Week Study,"<p>I bought this a few months ago because Matthew Harmon was my prof. for New Testament Theology, and I was interested to read some of his published works. I am not familiar with the rest of the series (Knowing the Bible by Crossway); however, if they are all like this one, I hope to take advantage of the whole series at some point. Dr. Harmon does a great job keeping the micro and macro considerations as well as relevant themes.</p>"
16511,7/11/21 17:42,7/11/21 17:42,mutual-funds-for-dummies,blog/2021/07/11/mutual-funds-for-dummies,7/11/21 17:42,19204,Mutual Funds For Dummies,Eric Tyson,null,"<p>I don't necessarily like the ""Dummies"" brand label, but I usually like their books. Eric Tyson tells you all you need to know to get started. The book is very detailed. I wish I could be at a point in my finances where I could take advantage of his advice. Perhaps in the next 10 years, I can be at that point.</p>"
16508,7/11/21 3:48,7/11/21 3:48,city-of-the-century,blog/2021/07/10/city-of-the-century,7/11/21 3:48,19199,City of the Century,Donald L. Miller,The Epic of Chicago and the Making of America,"<p>I've had this book on my shelf for about a year, and I've been looking forward to reading it. Also, as I have read it, I was interrupted many times with other things. So, my impressions of it are somewhat skewed. And, this was my first history of a major city that I read.</p>
<p>On the whole, I liked the book. Subjectively, however, I felt like Miller went into too much detail sometimes. I gleaned a ton of great info on Chicago, but usually the first third of the chapter was enough, and then the rest felt like extra that only an enthusiast would want. And, perhaps that is who Miller is targeting here. I have a book on NYC that I am going to read soon, and we will see what I think of that. I'm wondering if I don't like to read the history of cities as much as individuals or countries. </p>"
15895,7/9/21 16:26,7/9/21 16:26,the-mysterious-benedict-society-and-the-prisoners-dilemma,blog/2021/07/09/the-mysterious-benedict-society-and-the-prisoners-dilemma,7/9/21 16:26,18948,The Mysterious Benedict Society and the Prisoner's Dilemma,Trenton Lee Stewart,Book 3,"<p>Trenton Lee Steward made a needed pivot with this book. Books one and two felt similar (that is perhaps not a fair statement, but in contrast to book three is seems fair), but still very enjoyable. Here in book three, Steward shakes things up. It's the same characters with the same abilities, but with some twists. In addition, there are portions of this book that stirred strong emotion in me (in a good way) as I experienced the bond between the characters as they go through difficult times. There is a surprising amount of resolution in this book, so I am curious what book four will bring.</p>"
15892,7/9/21 15:46,7/9/21 15:46,33-men,blog/2021/07/09/33-men,7/9/21 15:46,18943,33 Men,Jonathan Franklin,Inside the Miraculous Survival and Dramatic Rescue of the Chilean Miners,"<p>Complicated! From beginning to end this event contained a surprising amount of complexity. I felt the Jonathan Franklin did a good job portraying this complexity while at the same time weaving it all together into a compelling account. Since the beginning of time, people have tried to shape the historical record for their purposes; however, this seems especially true in the day of visual media. Thus, when I read historical records such as this one that happened during modern media times, I appreciate the effort to bring all the factors together in a seemingly accurate way.</p>
<p>My only complaint is not any fault of the author. There are several elements to this story that are rougher, darker, and baser in nature. They were a part of the story, and I prefer to not have too much exposure to things like that. They are probably no big deal to most people.</p>"
15889,7/9/21 15:00,7/9/21 15:00,the-mysterious-benedict-society-and-the-perilous-journey,blog/2021/07/09/the-mysterious-benedict-society-and-the-perilous-journey,7/9/21 15:00,18938,The Mysterious Benedict Society and the Perilous Journey,Trenton Lee Stewart,Book 2,"<p>After book one, I was eager to see where Stewart would take the storyline. I felt that Mr. Benedict, his assistants, and the children were like newly found friends, and I wanted to see what adventures were next. Book two deepens the relationships of all of these aforementioned folks, and we meet some new folks too! It is a joy to experience how these children learn more and more how to solve problems together and depend on each others unique abilities. </p>"
15884,7/6/21 13:31,7/9/21 15:00,the-mysterious-benedict-society,blog/2021/07/06/the-mysterious-benedict-society,7/6/21 14:05,18929,The Mysterious Benedict Society,Trenton Lee Stewart,Book #1,"<p>This series came as a recommendation from my sister, and I almost always follow her recommendations. I bought the series for my children to read, and my 2nd oldest read them first, and then my oldest read them next. They loved the books, and they were excited when Disney+ started to come out with video installments of book one. We watched the first two right after they came out, and we were eager to watch the rest as the came out. At the end of watching these first two, my second oldest, Jonathan, came up to me with book one and said, ""Here you go Dad"" with the expectation that I would read it. It was fun to have the bond over the Harry Potter series with my older two kids, so I decided I would read this series too. </p>
<p>Now, onto my review.</p>
<p>I have no complaints and only delights with this first book. One particular delight is that this series capitalizes upon the feelings and unique abilities of gifted children. What's more, these gifted children are what is called ""Twice Exceptional"" which can be abbreviated ""2e"" (see <a href=""https://en.wikipedia.org/wiki/Twice_exceptional"" target=""_blank"" rel=""noreferrer noopener"">Wikipedia article</a>). Perhaps some would debate my considering them 2e, but I think it is worth considering. Gifted children often have deep struggles with how they relate to the society around them, and they often do not understand why. This can go even deeper for 2e children. That is why this book serious brings such delight because here is a book series who seems to keenly understand this.<br /></p>
<p>As to the particular plot of this first book, Stewart does a good job drawing you into the fairly quickly; however, I wonder how broad the appeal would be because of the oddities that appeal to gifted children within the plot. That's not a bad thing, I'm just curious about it. Another beautiful part of this first book is how the children, although intensely gifted, discover their significant limitations, and how they must rely, like the Harry Potter series, on the community of their friends - even when they are not get along with their friends. Lessons of trust, facing your fears, following instructions, etc. abound throughout the book. </p>
<p>I won't say too much so I don't give any spoilers, but I will say this: The children start with deep loss, and they end with great gain. </p>"
15812,5/14/21 12:09,5/14/21 12:17,harry-potter-and-the-half-blood-prince,blog/2021/05/14/harry-potter-and-the-half-blood-prince,5/14/21 12:09,18872,Harry Potter and the Half-Blood Prince,J. K. Rowling,Book 6,"<p>Book six felt the most unique out of the series so far (not counting book one of course). The surprises, joys, sadness, and the ebb and flow of intensity just felt different. As Harry gets older, the complexity of the issues correspondingly get more difficult, and he observes the limitations of the adults in his life more keenly. Harry's weight of responsibility dramatically increases, and his relationships, although sometimes stormy, become even deeper. Some long-standing tensions in the storyline get resolved, and some get unexpectedly brought to the forefront. As I've mentioned before, although these books are significantly other worldly, they are firmly rooted in our experience in this world. As I am now approaching my 40s, I find myself able to dwell on these things in a new way, and get much more application out of them. </p>"
15809,4/30/21 12:52,4/30/21 12:53,harry-potter-and-the-goblet-of-fire,blog/2021/04/30/harry-potter-and-the-goblet-of-fire,4/30/21 12:52,18867,Harry Potter and the Goblet of Fire,J.K. Rowling,Book 4,"<p>Very complicated plot line, and quite a bit more dark than the previous books. It also felt too long in some spots with way too many details. I am still enjoying the series, though. The dynamics of relationships are the most vivid in this book so far, and I once again, appreciate the vivid realities that we experience in this world couched in a very much other-worldly plot line. The way Rowling moves Harry through events keeps us from a messiah complex while valuing his unique abilities and relationships. </p>"
15806,4/22/21 1:29,4/22/21 1:33,five-views-on-law-and-gospel,blog/2021/04/21/five-views-on-law-and-gospel,4/22/21 1:29,18862,Five Views on Law and Gospel,Greg L. Bahnsen (Contributor),Counterpoints Series,"<p>I value what the Counterpoints series does. It really helps you hash things out. One unavoidable limitation is that the individual authors have space limitations which prevents them from fully developing things and overcoming foreseen objections. So, for what they do accomplish in such a short space is noteworthy and spectacular to observe. However, you know that the responses will lampoon one another over aspects that are not worth poking at because of the limitations they all faced. </p>
<p>I found this particular book in the series to be a blend of helpful responses and ones that were unnecessarily aggressive. Beyond that, by the time you get to the end, you get a clear idea of which biblical texts are the battle ground ones. </p>
<p>I had to read this book under a time crunch. Therefore, I don't feel like I got as many questions answered as I wanted to. I think that is partially my fault, partially due to the complexity of the issues, and partially because the various views digress too much. </p>"
15552,4/18/21 20:14,4/18/21 20:14,iron-kingdom,blog/2021/04/18/iron-kingdom,4/18/21 20:14,18549,Iron Kingdom,Christopher Clark,"The Rise and Downfall of Prussia, 1600–1947","<p>Listened to this as an audio book, and was pleased enough with it that I ordered the hardcopy and hope read it again in the next few years. I am very pleased with how Clark developed the historical fabric, and I would be glad to read any other books he wrote.</p>
<p>One of my big take-aways from this book is the Prussian Nationalism, its relationship to religion and politics, and how that relates to the United States today. It is very easy to make your assessment of another country based on what it is infamous for - World Wars 1 and 2 in Germany's case. However, as is the case with any person you interact with on an individual basis, it is a mistake to evaluate an individual or a country without considering where they are coming from. People are prone to make this mistake over and over again - myself included. </p>
<p>This book can help us consider this in light of our prevailing view of World War Germany and how they got there. Looking forward to spending more time with these lessons in the years to come.</p>"
